,Unnamed: 0,original_datarow,Species,Quantity,Price,Currency,Price_euro,Intent,Seller_id,lat,lon,Conservation status,CITES
157,238,46356,Anolis marmoratus,[],[],[],[],Seller,78,51.1638175,10.4478313,LC,0
158,239,46359,Anolis marmoratus,[],[],[],[],[],79,[],[],LC,0
159,240,46361,Anolis oculatus,[],[],[],[],Buyer,77,[],[],NT,0
160,241,46361,Anolis roquet,[],[],[],[],Buyer,77,[],[],LC,0
161,244,46366,Anolis oculatus,[],[],[],[],Seller,28,51.1638175,10.4478313,NT,0
162,245,46370,Anolis roquet,[],[],[],[],Buyer,81,[],[],LC,0
163,246,46371,Anolis roquet,[],[],[],[],Buyer,30,51.1638175,10.4478313,LC,0
164,247,46372,Anolis roquet,[],[],[],[],Seller,82,[],[],LC,0
165,248,46375,Anolis marmoratus,[],[],[],[],Buyer,23,[],[],LC,0
166,250,46376,Anolis sabanus,[],[],[],[],Seller,77,51.1638175,10.4478313,NT,0
167,253,46381,Anolis roquet,[],[],[],[],Seller,17,[],[],LC,0
168,254,46382,Anolis trinitatis,[],[],[],[],Seller,24,51.1638175,10.4478313,LC,0
169,255,46382,Anolis bimaculatus,[],[],[],[],Seller,24,51.1638175,10.4478313,LC,0
170,259,46387,Anolis roquet,[],[],[],[],Seller,76,51.1638175,10.4478313,LC,0
171,260,46392,Anolis marmoratus,[],[],[],[],[],83,[],[],LC,0
172,262,46907,Anolis roquet,1,58.5,EUR,58.5,Seller,85,38.9953683,21.9877132,LC,0
173,263,46923,Anolis roquet,[],[],[],[],Other,86,52.215933,19.134422,LC,0
174,264,46924,Anolis trinitatis,[],[],[],[],Other,86,52.215933,19.134422,LC,0
175,265,46926,Anolis sabanus,[],[],[],[],Other,86,52.215933,19.134422,NT,0
176,266,46928,Anolis gingivinus,[],[],[],[],Other,86,52.215933,19.134422,LC,0
177,267,46929,Anolis marmoratus,[],[],[],[],Other,86,52.215933,19.134422,LC,0
178,268,48466,Alsophis sibonius,[],[],[],[],Seller,87,36.5748441,139.2394179,LC,0
179,269,48577,Mastigodryas bruesi,[],[],[],[],Seller,87,36.5748441,139.2394179,LC,0
180,271,48665,Alsophis rufiventris,[],[],[],[],Seller,87,36.5748441,139.2394179,VU,0
181,272,48665,Alsophis antillensis,[],[],[],[],Seller,87,36.5748441,139.2394179,CR,0
182,273,48686,Corallus grenadensis,[],[],[],[],Seller,87,36.5748441,139.2394179,LC,Appendix II
183,274,48689,Corallus cookii,[],[],[],[],Seller,87,36.5748441,139.2394179,NT,Appendix II
184,281,49198,Sphaerodactylus fantasticus,[],[],[],[],Seller,88,39.7837304,-100.445882,LC,0
185,283,49245,Anolis extremus,[],105.5,EUR,105.5,Seller,89,52.2434979,5.6343227,LC,0
186,284,49246,Anolis richardii,[],158.25,EUR,158.25,Seller,89,52.2434979,5.6343227,LC,0
187,285,49247,Anolis roquet,[],42.2,EUR,42.2,Seller,89,52.2434979,5.6343227,LC,0
188,286,49278,Gonatodes daudini,[],896.75,EUR,896.75,Seller,89,52.2434979,5.6343227,CR,Appendix I
189,287,49305,Sphaerodactylus kirbyi,[],158.25,EUR,158.25,Seller,89,52.2434979,5.6343227,VU,0
